"ik"	"visiidi_kp"	"vererohk"	"crv"	"Sugu"	"skp"	"vanus"	"jrk"
36310276090	"2005-05-31"	24.2598078126417	5	"M"	"1963-10-27"	50	"vis1"
36310276090	"2006-08-21"	75.3853357062455	9	"M"	"1963-10-27"	50	"vis2"
36405311795	"2005-05-12"	88.9660019524578	13	"M"	"1964-05-31"	50	"vis1"
36405311795	"2005-09-13"	68.8112244277066	9	"M"	"1964-05-31"	50	"vis2"
36506281450	"2005-05-26"	34.6507355577535	6	"M"	"1965-06-28"	49	"vis1"
36506281450	"2006-08-24"	50.1000414680911	7	"M"	"1965-06-28"	49	"vis2"
37611076136	"2006-10-23"	73.6634609282613	8	"M"	"1976-11-07"	37	"vis1"
37611076136	"2007-02-11"	103.16515559353	10	"M"	"1976-11-07"	37	"vis2"
39604056277	"2005-08-03"	28.2080313001761	4	"M"	"1996-04-05"	18	"vis1"
39604056277	"2005-08-20"	102.50898492837	10	"M"	"1996-04-05"	18	"vis2"
47402262352	"2005-03-27"	25.2393686204278	5	"N"	"1974-02-26"	40	"vis1"
47402262352	"2005-07-05"	60.6661298462153	7	"N"	"1974-02-26"	40	"vis2"
47709121978	"2005-01-31"	90.1983334656872	12	"N"	"1977-09-12"	37	"vis1"
47709121978	"2008-07-17"	114.84168060873	13	"N"	"1977-09-12"	37	"vis2"
48010083872	"2013-03-15"	80.4727211326749	7	"N"	"1980-10-08"	33	"vis1"
48109203722	"2005-03-03"	133.39997333081	14	"N"	"1981-09-20"	33	"vis1"
48109203722	"2008-04-10"	131.135706231002	11	"N"	"1981-09-20"	33	"vis2"
49003123879	"2007-03-28"	37.5159669239924	4	"N"	"1990-03-12"	24	"vis1"
49003123879	"2007-05-20"	44.625043103831	4	"N"	"1990-03-12"	24	"vis2"
